id,batch_size,test_acc,x,y,z
0,12800,37%,-1,-1,1.83694253790281
0,12800,37%,-0.966101694915254,-1,1.81752283285135
0,12800,37%,-0.932203389830508,-1,1.79785251999559
0,12800,37%,-0.898305084745763,-1,1.77783884972931
0,12800,37%,-0.864406779661017,-1,1.75755295846706
0,12800,37%,-0.830508474576271,-1,1.7370580709559
0,12800,37%,-0.796610169491525,-1,1.71626785748611
0,12800,37%,-0.76271186440678,-1,1.69497303176883
0,12800,37%,-0.728813559322034,-1,1.67311975631518
0,12800,37%,-0.694915254237288,-1,1.65044030584028
0,12800,37%,-0.661016949152542,-1,1.62709770850827
0,12800,37%,-0.627118644067797,-1,1.60316439305088
0,12800,37%,-0.593220338983051,-1,1.57892916276566
0,12800,37%,-0.559322033898305,-1,1.55414865632569
0,12800,37%,-0.525423728813559,-1,1.52879026277
0,12800,37%,-0.491525423728814,-1,1.50275480971753
0,12800,37%,-0.457627118644068,-1,1.47596790255425
0,12800,37%,-0.423728813559322,-1,1.44865270076698
0,12800,37%,-0.389830508474576,-1,1.42087618219024
0,12800,37%,-0.355932203389831,-1,1.39293055247508
0,12800,37%,-0.322033898305085,-1,1.36584604192297
0,12800,37%,-0.288135593220339,-1,1.34136109515086
0,12800,37%,-0.254237288135593,-1,1.32017647825683
0,12800,37%,-0.220338983050847,-1,1.30195634593761
0,12800,37%,-0.186440677966102,-1,1.28830032439971
0,12800,37%,-0.152542372881356,-1,1.28125931383676
0,12800,37%,-0.11864406779661,-1,1.28293532312878
0,12800,37%,-0.084745762711864,-1,1.29190469152395
0,12800,37%,-0.050847457627119,-1,1.30401424922593
0,12800,37%,-0.016949152542373,-1,1.31804300802826
0,12800,37%,0.016949152542373,-1,1.33381092780604
0,12800,37%,0.050847457627119,-1,1.35123569400664
0,12800,37%,0.084745762711864,-1,1.36932433660035
0,12800,37%,0.11864406779661,-1,1.38784090070884
0,12800,37%,0.152542372881356,-1,1.40638231027545
0,12800,37%,0.186440677966102,-1,1.4246182345792
0,12800,37%,0.220338983050848,-1,1.44242445442341
0,12800,37%,0.254237288135593,-1,1.45975820600707
0,12800,37%,0.288135593220339,-1,1.47674314122399
0,12800,37%,0.322033898305085,-1,1.49334363041446
0,12800,37%,0.35593220338983,-1,1.50964856664937
0,12800,37%,0.389830508474576,-1,1.52575517344252
0,12800,37%,0.423728813559322,-1,1.54168633557216
0,12800,37%,0.457627118644068,-1,1.55735608072467
0,12800,37%,0.491525423728814,-1,1.57275634423777
0,12800,37%,0.525423728813559,-1,1.58795226275491
0,12800,37%,0.559322033898305,-1,1.60298216732225
0,12800,37%,0.593220338983051,-1,1.61775382265428
0,12800,37%,0.627118644067797,-1,1.63244000653064
0,12800,37%,0.661016949152542,-1,1.64709191992319
0,12800,37%,0.694915254237288,-1,1.66157141860727
0,12800,37%,0.728813559322034,-1,1.67601896513871
0,12800,37%,0.76271186440678,-1,1.6906691319114
0,12800,37%,0.796610169491526,-1,1.70567882021356
0,12800,37%,0.830508474576271,-1,1.72116005972566
0,12800,37%,0.864406779661017,-1,1.73699265761975
0,12800,37%,0.898305084745763,-1,1.75316798970969
0,12800,37%,0.932203389830508,-1,1.7695340026588
0,12800,37%,0.966101694915254,-1,1.78603000092285
0,12800,37%,1,-1,1.80264205622955
0,12800,37%,-1,-0.966101694915254,1.82041709300161
0,12800,37%,-0.966101694915254,-0.966101694915254,1.80091992970791
0,12800,37%,-0.932203389830508,-0.966101694915254,1.78117412698303
0,12800,37%,-0.898305084745763,-0.966101694915254,1.76110276856485
0,12800,37%,-0.864406779661017,-0.966101694915254,1.74063096221607
0,12800,37%,-0.830508474576271,-0.966101694915254,1.71992354595958
0,12800,37%,-0.796610169491525,-0.966101694915254,1.69894836726927
0,12800,37%,-0.76271186440678,-0.966101694915254,1.67747128383725
0,12800,37%,-0.728813559322034,-0.966101694915254,1.65542152860355
0,12800,37%,-0.694915254237288,-0.966101694915254,1.63261758037723
0,12800,37%,-0.661016949152542,-0.966101694915254,1.60905469743301
0,12800,37%,-0.627118644067797,-0.966101694915254,1.58489579262123
0,12800,37%,-0.593220338983051,-0.966101694915254,1.56040826570401
0,12800,37%,-0.559322033898305,-0.966101694915254,1.53549257946544
0,12800,37%,-0.525423728813559,-0.966101694915254,1.50988261196479
0,12800,37%,-0.491525423728814,-0.966101694915254,1.48370810243374
0,12800,37%,-0.457627118644068,-0.966101694915254,1.45673198107967
0,12800,37%,-0.423728813559322,-0.966101694915254,1.42912476825782
0,12800,37%,-0.389830508474576,-0.966101694915254,1.40120446660834
0,12800,37%,-0.355932203389831,-0.966101694915254,1.37329919672304
0,12800,37%,-0.322033898305085,-0.966101694915254,1.34626939997419
0,12800,37%,-0.288135593220339,-0.966101694915254,1.32160979259033
0,12800,37%,-0.254237288135593,-0.966101694915254,1.30038178310128
0,12800,37%,-0.220338983050847,-0.966101694915254,1.28249099325572
0,12800,37%,-0.186440677966102,-0.966101694915254,1.26907223391237
0,12800,37%,-0.152542372881356,-0.966101694915254,1.26238339505237
0,12800,37%,-0.11864406779661,-0.966101694915254,1.26446728911645
0,12800,37%,-0.084745762711864,-0.966101694915254,1.27358156928522
0,12800,37%,-0.050847457627119,-0.966101694915254,1.28591543812994
0,12800,37%,-0.016949152542373,-0.966101694915254,1.300238157624
0,12800,37%,0.016949152542373,-0.966101694915254,1.31643962677211
0,12800,37%,0.050847457627119,-0.966101694915254,1.33421024741781
0,12800,37%,0.084745762711864,-0.966101694915254,1.35263397397127
0,12800,37%,0.11864406779661,-0.966101694915254,1.37140499360764
0,12800,37%,0.152542372881356,-0.966101694915254,1.39018099682754
0,12800,37%,0.186440677966102,-0.966101694915254,1.4085594165451
0,12800,37%,0.220338983050848,-0.966101694915254,1.42641260503636
0,12800,37%,0.254237288135593,-0.966101694915254,1.44374632612179
0,12800,37%,0.288135593220339,-0.966101694915254,1.46075679381544
0,12800,37%,0.322033898305085,-0.966101694915254,1.4773959870498
0,12800,37%,0.35593220338983,-0.966101694915254,1.49373558087598
0,12800,37%,0.389830508474576,-0.966101694915254,1.50984087313629
0,12800,37%,0.423728813559322,-0.966101694915254,1.52572243793247
0,12800,37%,0.457627118644068,-0.966101694915254,1.54130965105748
0,12800,37%,0.491525423728814,-0.966101694915254,1.55660580139225
0,12800,37%,0.525423728813559,-0.966101694915254,1.5716496128902
0,12800,37%,0.559322033898305,-0.966101694915254,1.58646134272093
0,12800,37%,0.593220338983051,-0.966101694915254,1.60109077541621
0,12800,37%,0.627118644067797,-0.966101694915254,1.61562479912181
0,12800,37%,0.661016949152542,-0.966101694915254,1.63002011169399
0,12800,37%,0.694915254237288,-0.966101694915254,1.6442882806806
0,12800,37%,0.728813559322034,-0.966101694915254,1.65869098633779
0,12800,37%,0.76271186440678,-0.966101694915254,1.67333207269483
0,12800,37%,0.796610169491526,-0.966101694915254,1.68841295749889
0,12800,37%,0.830508474576271,-0.966101694915254,1.70390726714446
0,12800,37%,0.864406779661017,-0.966101694915254,1.71979167557677
0,12800,37%,0.898305084745763,-0.966101694915254,1.73598252471724
0,12800,37%,0.932203389830508,-0.966101694915254,1.75239899932255
0,12800,37%,0.966101694915254,-0.966101694915254,1.76894929729194
0,12800,37%,1,-0.966101694915254,1.78569771142818
0,12800,37%,-1,-0.932203389830508,1.80353258801527
0,12800,37%,-0.966101694915254,-0.932203389830508,1.78389014015999
0,12800,37%,-0.932203389830508,-0.932203389830508,1.76410257543741
0,12800,37%,-0.898305084745763,-0.932203389830508,1.74399512240441
0,12800,37%,-0.864406779661017,-0.932203389830508,1.72348712631125
0,12800,37%,-0.830508474576271,-0.932203389830508,1.70254798204847
